标题,状态,处理人,优先级,标签
教学域数据层（21 张表 + 4 张配置表 + 权限 + 菜单）,已完成,,P0,教学管理
成绩册（列权重 × 类型权重 + 二维录入 + 等级达标）,已完成,,P0,教学管理
课程规划（单元 / 环节 / 开课 / 部署到课次）,已完成,,P0,教学管理
行为记录（记录 / 跟进 + 告警重算 + 家长信件）,已完成,,P0,教学管理
课时教案（挂课次 + 学生 / 家长可见性）,已完成,,P1,教学管理
学习成果库（单元 / 课时挂成果）,已完成,,P1,教学管理
考勤码配置（可配置出勤口径）,已完成,,P1,教学管理
出勤率报表 + 考勤终态审核（教务审核 → 计入出勤率与结算基数）,已完成,,P1,教学管理
作业与成绩册联动（作业完成情况一键写入成绩册）,已完成,,P2,教学管理
家长 / 学生门户（多子女 + 自助 + 可见性查询层过滤）,待开始,,P0,教学管理
教学班数据补录（阻塞课程部署）,待开始,,P0,教学管理
卫瓴联系人管理（同步 + 只读列表 + 关联学生）,已完成,,P0,招生管理
招生跟进改用联系人（新建 / 修改从联系人取数）,已完成,,P1,招生管理
招生分析报表（8 个分析区块 + 6 个 KPI 下钻）,已完成,,P1,招生管理
联系人去重报表（分组 + 证据 + 建议保留 + 导出）,已完成,,P1,招生管理
候选人流失分析（按渠道 / 归属人）,已完成,,P2,招生管理
邮件自动归档（IMAP + 附件本地化 + 关联学生）,已完成,,P0,招生管理
AI 路由六模块（分组 / 上游账号 / 模型路由 / API 密钥 / 用量 / 审计）,已完成,,P0,AI 路由
AI 网关真实调用打通（DeepSeek 实测 + 计费 + 冷却恢复）,已完成,,P0,AI 路由
AI 路由用户管理（方案待定：复用 or 新建）,待开始,,P2,AI 路由
学生类报表 4 张（结构概览 / 年级流向 / 入学趋势 / 档案完整度）,已完成,,P1,报表管理
笔记统计 / 活跃时段报表,已完成,,P2,报表管理
报表下钻（点人数进名单，带筛选）,已完成,,P1,报表管理
菜单级权限点补齐 + 存量角色迁移,已完成,,P0,权限安全
菜单入口口径收口：read 蕴含 enter（修 9 个角色「有权限却看不到菜单」）,已完成,,P0,权限安全
菜单 key 与模块资源 key 对齐（4 处别名收口）+ 合并重复的部门管理资源,已完成,,P1,权限安全
「教务」调整冲销：菜单可见但接口 403,已完成,,P1,权限安全
修复权限矩阵保存后管理员被降级回历史快照（自愈缺口）,已完成,,P0,权限安全
字段密级脱敏（FIELD_LEVELS 自动脱敏）,已完成,,P0,权限安全
审计四件套（创建 / 更新人 + 时间，79 张表）,已完成,,P1,权限安全
操作日志 / 登录日志 / 系统监控,已完成,,P2,权限安全
飞书 → PostgreSQL 数据层迁移（79 表全量切读）,已完成,,P0,基础设施
Blue-Green 零停机部署,已完成,,P0,基础设施
云盘 / 云文档 / 字典内化,已完成,,P1,基础设施
部门管理（部门树 + 部门成员）,已完成,,P2,基础设施
首页 logo 旧附件待人工重传,待开始,,P2,数据质量
