标题,状态,处理人,优先级,标签
教学域数据层（21 张表 + 4 张配置表 + 权限 + 菜单）,已完成,,P0,教学管理
成绩册（列权重 × 类型权重 + 二维录入 + 等级达标）,已完成,,P0,教学管理
课程规划（单元 / 环节 / 开课 / 部署到课次）,已完成,,P0,教学管理
行为记录（记录 / 跟进 + 告警重算 + 家长信件）,已完成,,P0,教学管理
课时教案（挂课次 + 学生 / 家长可见性）,已完成,,P1,教学管理
学习成果库（单元 / 课时挂成果）,已完成,,P1,教学管理
考勤码配置（可配置出勤口径）,已完成,,P1,教学管理
出勤率报表 + 考勤终态审核（教务审核 → 计入出勤率与结算基数）,已完成,,P1,教学管理
作业与成绩册联动（作业完成情况一键写入成绩册）,已完成,,P2,教学管理
家长 / 学生门户（多子女 + 自助 + 可见性查询层过滤）,待开始,,P0,教学管理
教学班数据补录（阻塞课程部署）,待开始,,P0,教学管理
考试与成绩（考核类型 / 期末总评结转 / 各科教师评语 / 成绩单 + PDF 导出 / 成绩分布与 GPA 排名报表 / 成绩口径 / 常用评语库 / 整班 ZIP）,已完成,,P0,教学管理
身份模拟（管理员以任意账号身份浏览 + 二次密码 + 全程留痕 + 只读模式 + 模块白名单 + 模拟记录）,已完成,,P1,权限安全
卫瓴联系人管理（同步 + 只读列表 + 关联学生）,已完成,,P0,招生管理
招生跟进改用联系人（新建 / 修改从联系人取数）,已完成,,P1,招生管理
招生分析报表（8 个分析区块 + 6 个 KPI 下钻）,已完成,,P1,招生管理
联系人去重报表（分组 + 证据 + 建议保留 + 导出）,已完成,,P1,招生管理
候选人流失分析（按渠道 / 归属人）,已完成,,P2,招生管理
邮件自动归档（IMAP + 附件本地化 + 关联学生）,已完成,,P0,招生管理
邮件归档按用户隔离：账户关联用户 + 行级数据范围 + 用户/关联列 + 归属迁移,已完成,,P0,权限安全
新建账号默认选中真实校区 + 校区改必填（ABAC 校区两个反向坑）,已完成,,P0,权限安全
用户表姓名与飞书对齐（宋琼｜Sally / 吴倩｜Erin / 孙旭峰｜Richard）,已完成,,P1,数据一致性
部门成员同步漏抓根部门直属成员（刘玉蓉｜Yvonne 查不到）,已完成,,P1,组织管理
用户管理页左侧部门架构树 + 点部门筛选账号（含下级可切 / URL 可分享）,已完成,,P0,权限安全
学生档案行级数据范围（角色级 dataScope + 人级学生档案范围 + 9 模块 + 学生全景）,已完成,,P0,权限安全
学生档案列表/导出字段级脱敏补齐,已完成,,P1,权限安全
角色管理「复制角色」（继承四项配置，不继承内置/锁定）,已完成,,P0,权限安全
AI 路由六模块（分组 / 上游账号 / 模型路由 / API 密钥 / 用量 / 审计）,已完成,,P0,AI 路由
AI 网关真实调用打通（DeepSeek 实测 + 计费 + 冷却恢复）,已完成,,P0,AI 路由
AI 路由用户管理（方案待定：复用 or 新建）,待开始,,P2,AI 路由
学生类报表 4 张（结构概览 / 年级流向 / 入学趋势 / 档案完整度）,已完成,,P1,报表管理
笔记统计 / 活跃时段报表,已完成,,P2,报表管理
报表下钻（点人数进名单，带筛选）,已完成,,P1,报表管理
菜单级权限点补齐 + 存量角色迁移,已完成,,P0,权限安全
菜单入口口径收口：read 蕴含 enter（修 9 个角色「有权限却看不到菜单」）,已完成,,P0,权限安全
菜单 key 与模块资源 key 对齐（4 处别名收口）+ 合并重复的部门管理资源,已完成,,P1,权限安全
「教务」调整冲销：菜单可见但接口 403,已完成,,P1,权限安全
部门同步接口收权限：POST /departments/sync 原本任何登录用户可调，收口到 module:departmentManagement:update,已完成,,P0,权限安全
修复菜单 key 与模块资源 key 不一致导致 4 个菜单静默隐藏（回归修复）,已完成,,P0,权限安全
修复权限矩阵保存后管理员被降级回历史快照（自愈缺口）,已完成,,P0,权限安全
字段密级脱敏（FIELD_LEVELS 自动脱敏）,已完成,,P0,权限安全
审计四件套（创建 / 更新人 + 时间，79 张表）,已完成,,P1,权限安全
操作日志 / 登录日志 / 系统监控,已完成,,P2,权限安全
飞书 → PostgreSQL 数据层迁移（79 表全量切读）,已完成,,P0,基础设施
Blue-Green 零停机部署,已完成,,P0,基础设施
云盘 / 云文档 / 字典内化,已完成,,P1,基础设施
部门管理（部门树 + 部门成员）,已完成,,P2,基础设施
外部客户端接入（CLI / MCP / API 令牌，让 agent 调用 ACMS）,已完成,,P1,基础设施
全站按钮权限收口（CrudPage moduleKey 全覆盖 + 只对已声明动作生效）,已完成,,P0,权限安全
知识库配置按用户隔离（「关联用户」多选 + 可见性判据唯一化）,已完成,,P0,权限安全
笔记正文落库（noteBody：智能总结与原始记录分列）,已完成,,P1,基础设施
「重新收取」笔记正文（异步 + 进度 + 幂等 upsert）,已完成,,P1,基础设施
笔记录音链路（落库 / 行内播放 / 转出带录音 / 容器嗅探）,已完成,,P1,基础设施
角色管理页重构（菜单可见性并入矩阵 + 列表视图按模块罗列）,已完成,,P0,权限安全
权限判据双轨制收口（自建 controller 切到 module 体系 + 菜单白名单修复）,已完成,,P0,权限安全
会议纪要可见范围（公开 / 部门内可见 / 指定部门可见 / 指定用户可见 / 仅自己可见 + 部门负责人跨部门可见 + 参会/缺席/列席多选）,已完成,,P0,权限安全
日常跟进 / 家校沟通 / 学生观察 三合一为「学生记录」（类型域权限 + 数据迁移 + 蓝绿部署）,已完成,,P0,学生闭环
首页 logo 旧附件待人工重传,待开始,,P2,数据质量
